name,batch_id,open,close,volume,item_url
M4A1-S | Leaded Glass (Factory New),2025-08-05 12:38:02,44.76,44.76,14,https://steamcommunity.com/market/listings/730/M4A1-S%20|%20Leaded%20Glass%20(Factory%20New)
Dreams & Nightmares Case,2025-08-05 12:38:02,2.48,2.49,63176,https://steamcommunity.com/market/listings/730/Dreams%20&%20Nightmares%20Case
Sticker | Bolt Energy (Foil),2025-08-05 12:38:02,2.0,2.02,95,https://steamcommunity.com/market/listings/730/Sticker%20|%20Bolt%20Energy%20(Foil)
Sticker | FaZe Clan (Holo) | Paris 2023,2025-08-05 12:38:02,1.89,1.89,202,https://steamcommunity.com/market/listings/730/Sticker%20|%20FaZe%20Clan%20(Holo)%20|%20Paris%202023
AWP | Hyper Beast (Factory New),2025-08-05 12:38:02,187.91,180.01,5,https://steamcommunity.com/market/listings/730/AWP%20|%20Hyper%20Beast%20(Factory%20New)
AK-47 | Asiimov (Factory New),2025-08-05 12:38:02,368.43,352.02,5,https://steamcommunity.com/market/listings/730/AK-47%20|%20Asiimov%20(Factory%20New)
M4A4 | 龍王 (Dragon King) (Factory New),2025-08-05 12:38:02,76.42,74.44,7,https://steamcommunity.com/market/listings/730/M4A4%20|%20龍王%20(Dragon%20King)%20(Factory%20New)
Operation Riptide Case,2025-08-05 12:38:02,20.13,20.15,147,https://steamcommunity.com/market/listings/730/Operation%20Riptide%20Case
Sticker | Team Liquid (Holo) | Paris 2023,2025-08-05 12:38:02,1.84,1.78,265,https://steamcommunity.com/market/listings/730/Sticker%20|%20Team%20Liquid%20(Holo)%20|%20Paris%202023
Sticker | Taste Buddy (Holo),2025-08-05 12:38:02,5.33,5.3,193,https://steamcommunity.com/market/listings/730/Sticker%20|%20Taste%20Buddy%20(Holo)
Glove Case,2025-08-05 12:38:02,17.25,17.45,2509,https://steamcommunity.com/market/listings/730/Glove%20Case
Sticker | Hypnoteyes (Holo),2025-08-05 12:38:02,1.28,1.28,197,https://steamcommunity.com/market/listings/730/Sticker%20|%20Hypnoteyes%20(Holo)
M4A1-S | Decimator (Factory New),2025-08-05 12:38:02,99.98,97.21,20,https://steamcommunity.com/market/listings/730/M4A1-S%20|%20Decimator%20(Factory%20New)
M4A4 | Desolate Space (Factory New),2025-08-05 12:38:02,79.77,79.49,3,https://steamcommunity.com/market/listings/730/M4A4%20|%20Desolate%20Space%20(Factory%20New)
Operation Wildfire Case,2025-08-05 12:38:02,5.0,5.12,1013,https://steamcommunity.com/market/listings/730/Operation%20Wildfire%20Case
Desert Eagle | Mecha Industries (Factory New),2025-08-05 12:38:02,17.21,17.49,48,https://steamcommunity.com/market/listings/730/Desert%20Eagle%20|%20Mecha%20Industries%20(Factory%20New)
AK-47 | Bloodsport (Factory New),2025-08-05 12:38:02,416.87,402.93,7,https://steamcommunity.com/market/listings/730/AK-47%20|%20Bloodsport%20(Factory%20New)
Desert Eagle | Printstream (Factory New),2025-08-05 12:38:02,124.0,122.13,17,https://steamcommunity.com/market/listings/730/Desert%20Eagle%20|%20Printstream%20(Factory%20New)
AK-47 | Asiimov (Factory New),2025-08-07 01:10:22,367.65,352.05,2,https://steamcommunity.com/market/listings/730/AK-47%20|%20Asiimov%20(Factory%20New)
Operation Broken Fang Case,2025-08-07 01:10:22,14.14,14.01,410,https://steamcommunity.com/market/listings/730/Operation%20Broken%20Fang%20Case
Sticker | Hypnoteyes (Holo),2025-08-07 01:10:22,1.18,1.18,267,https://steamcommunity.com/market/listings/730/Sticker%20|%20Hypnoteyes%20(Holo)
Operation Wildfire Case,2025-08-07 01:10:22,4.79,4.78,1105,https://steamcommunity.com/market/listings/730/Operation%20Wildfire%20Case
M4A1-S | Decimator (Factory New),2025-08-07 01:10:22,103.5,98.13,3,https://steamcommunity.com/market/listings/730/M4A1-S%20|%20Decimator%20(Factory%20New)
M4A4 | Neo-Noir (Factory New),2025-08-07 01:10:22,106.23,101.83,8,https://steamcommunity.com/market/listings/730/M4A4%20|%20Neo-Noir%20(Factory%20New)
Desert Eagle | Mecha Industries (Factory New),2025-08-07 01:10:22,17.65,17.58,45,https://steamcommunity.com/market/listings/730/Desert%20Eagle%20|%20Mecha%20Industries%20(Factory%20New)
Sticker | Taste Buddy (Holo),2025-08-07 01:10:22,5.2,5.19,152,https://steamcommunity.com/market/listings/730/Sticker%20|%20Taste%20Buddy%20(Holo)
Sticker | Bolt Energy (Foil),2025-08-07 01:10:22,1.99,2.01,122,https://steamcommunity.com/market/listings/730/Sticker%20|%20Bolt%20Energy%20(Foil)
M4A1-S | Leaded Glass (Factory New),2025-08-07 01:10:22,46.0,43.57,23,https://steamcommunity.com/market/listings/730/M4A1-S%20|%20Leaded%20Glass%20(Factory%20New)
Dreams & Nightmares Case,2025-08-07 01:10:22,2.18,2.16,89296,https://steamcommunity.com/market/listings/730/Dreams%20&%20Nightmares%20Case
Operation Riptide Case,2025-08-07 01:10:22,19.6,19.59,118,https://steamcommunity.com/market/listings/730/Operation%20Riptide%20Case
Glove Case,2025-08-07 01:10:22,16.68,16.9,2161,https://steamcommunity.com/market/listings/730/Glove%20Case
AWP | Hyper Beast (Factory New),2025-08-07 01:10:22,207.8,186.85,7,https://steamcommunity.com/market/listings/730/AWP%20|%20Hyper%20Beast%20(Factory%20New)
Sticker | FaZe Clan (Holo) | Paris 2023,2025-08-07 01:10:22,1.66,1.64,145,https://steamcommunity.com/market/listings/730/Sticker%20|%20FaZe%20Clan%20(Holo)%20|%20Paris%202023
M4A4 | Desolate Space (Factory New),2025-08-07 01:10:22,87.74,89.9,13,https://steamcommunity.com/market/listings/730/M4A4%20|%20Desolate%20Space%20(Factory%20New)
M4A4 | 龍王 (Dragon King) (Factory New),2025-08-07 01:10:22,93.08,84.55,15,https://steamcommunity.com/market/listings/730/M4A4%20|%20龍王%20(Dragon%20King)%20(Factory%20New)
Sticker | Team Liquid (Holo) | Paris 2023,2025-08-07 01:10:22,1.67,1.68,138,https://steamcommunity.com/market/listings/730/Sticker%20|%20Team%20Liquid%20(Holo)%20|%20Paris%202023
